NO,instructions(en),instruction(jp),explanation(en),explanation(jp),response(en),response(jp),type
11,"Choose item from the list below, which is unrelated to the U.S. economic system: capitalist economy, socialism, market economy, positionalism",以下のリストのうち、米国の経済システムと関係のないものを選べ（複数可）：資本主義経済、社会主義、市場経済、立場主義,"The U.S. economic system is a capitalist market economy, which means that it is based on the principles of supply and demand, private ownership of the means of production, and the pursuit of profit. Socialism, on the other hand, is an economic system in which the means of production are owned and controlled by the state or the community as a whole, with the goal of achieving greater equality and fairness.Positionalism is not an economic system. ",米国の経済システムは資本主義市場経済です。これは、需要と供給、生産手段の私有、利益の追求の原則に基づいていることを意味します。一方、社会主義は、より大きな平等と公平性を達成することを目的として、生産手段が国家または共同体全体によって所有および管理される経済システムです。しかし、立場主義は経済システムではありません。,"socialism, positionalism",社会主義、立場主義,classification
12,"Choose item from the list below, which is unrelated to the ""rule of law"" in the U.S. : everyone obeys the law, leaders obey the law, government obeys the law, no one transcends the law, the law transcends the universe",以下のリストのうち、米国における「法の支配」に関係のないモノを選べ：誰もが法律に従うこと、リーダーは法律を従うこと、政府は法律に従うこと、法を超越する者は誰もいない、法は宇宙を超越する,"The rule of law is a principle that states that everyone, including leaders and the government, must obey the law and no one is above it. The law does not transcend the universe, but rather applies to a specific jurisdiction or territory. The notion of the rule of law is a fundamental principle of the U.S. Constitution.",法の支配とは、指導者や政府を含むすべての人が法に従わなければならず、法を超える者はいないという原則です。法律は宇宙を超えるものではなく、特定の管轄区域または領域に適用されます。法の支配の概念は米国憲法の基本原則です。,the law transcends the universe,法は宇宙を超越する,classification
13,"Choose item from the list below, which is unrelated to branch(s) of U.S. government: Congress, Public Relations, Legislation, Customer Complaints, President, Executive, Courts, Judiciary",以下のリストのうち、米国政府の支部の名前で関係のないものを挙げてください（複数可）：議会、広報、立法、苦情受付、大統領、行政、裁判所、司法,"The other items on the list, such as Congress, Legislation, President, Executive, Courts, and Judiciary, are all related to the different branches of government and their functions. Public Relations can also be related to government as it is a way for the government to communicate with the public and manage its image.  The United States government is divided into three parts to ensure a separation of powers. The three branches work together to govern the country.",議会、立法、大統領、行政、裁判所、司法など、リストにある他の項目はすべて政府のさまざまな部門とその機能に関連しています。政府が国民とコミュニケーションを取り、政府のイメージを管理する手段であるため、広報活動は政府に関連することもあります。米国政府は権力の分立を確保するために 3 つの部分に分割されています。 3つの支部は協力して国を統治します。,"Public Relations, Customer Complaints",広報、苦情受付,classification
14,"Choose item from the list below, which does not prevent one branch of government from becoming too powerful: checks and balances, separation of powers, praying to the gods",以下のリストのうち、政府の一部門が強すぎるのを防ぐことに関係のないものは何か：抑制と均衡、三権分立、神様にお参り,"Checks and balances and separation of powers, are mechanisms designed to prevent any one branch of government from becoming too powerful by distributing power among different branches and providing each branch with the ability to check the actions of the others.Checks and balances ensure that no one branch in the U.S. government becomes too powerful.",チェック・アンド・バランスと権力分立は、さまざまな部門に権力を分散し、各部門に他の部門の行動をチェックする機能を提供することにより、政府のいずれかの部門が強力になりすぎることを防ぐように設計されたメカニズムです。米国政府の支部が強力になりすぎる。,praying to the gods,神様にお参りする,classification
15,Who is in charge of the executive branch in the U.S.?,米国における行政府の責任者は誰ですか?," The President of the United States oversees the executive branch, which ensures that the laws of the country are obeyed.",米国大統領は行政府を監督し、国の法律が確実に遵守されるようにします。,The President,大統領,open_qa
16,"Choose item that does not have power to enact federal law from the list below: Congress, Senate, House of Representatives, Stockholders' Meeting",以下のリストのうち、連邦法を制定する権限がないのはどれですか：米国議会、上院、下院、株主総会,"In the United States, the power to enact federal law is vested in Congress, which is composed of the Senate and the House of Representatives. The Stockholders’ Meeting is not a part of Congress and therefore does not have the power to enact federal law. Congress is the only branch of government that can create new laws or change existing laws.",米国では、連邦法を制定する権限は上院と下院で構成される議会に与えられています。株主総会は議会の一部ではないため、連邦法を制定する権限はありません。議会は、新しい法律を制定したり、既存の法律を変更したりできる唯一の政府部門です。,General meeting of shareholders,株主総会,classification
17,What are two parts of US Congress?,米国議会の2つの部分は何ですか?,"The legislative branch of the U.S. government is responsible for making laws, and is comprised of the Senate and House of Representatives.",米国政府の立法府は法律制定を担当しており、上院と下院で構成されています。,The Senate and the House.,上院と下院です。,open_qa
18,How many U.S. Senators are there?,米国の上院議員は何人いますか?,"Each of the 50 U.S. states elects two senators to represent them in the Senate. This excludes territories such as Puerto Rico and American Samoa, as well as the federal capital city of D.C., formally the District of Columbia. Fifty states with two senators each = 100 U.S. senators.",米国の 50 州のそれぞれが上院の代表として 2 人の上院議員を選出します。これには、プエルトリコや米領サモアなどの地域、および連邦首都ワシントンDC（正式にはコロンビア特別区）は含まれません。 50 州にそれぞれ 2 人の上院議員がいる = 米国の上院議員は 100 人。,100,100人,open_qa
19,U.S. citizens elect a U.S. Senator for how many years?,米国上院議員の任期は何年ですか?,"The term of office for a U.S. senator is six years, and every two years, one third of the Senate runs for reelection.",米国上院議員の任期は6年で、2年ごとに上院の3分の1が再選に立候補する。,6 Years,6年,open_qa
20,The House of Representatives has how many voting members in U.S.?,米国下院には投票権のある議員が何人いますか?,"The House of Representatives has 435 members, who proportionally represent the population of all 50 states.",下院には 435 人の議員がおり、50 州すべての人口を比例的に代表しています。,435,435人,open_qa
21,U.S. citizens elect a U.S. Representative for how many years?,米国下院議員の任期は何年ですか?,All U.S. House members serve a two-year term and may run for reelection every even year.,すべての米国下院議員の任期は 2 年であり、偶数年ごとに再選される可能性があります。,2 Years,2年,open_qa
22,Who does a U.S. Senator represent?,米国の上院議員は誰を代表しますか?,Each state has two senators who represent all the residents of that state.,各州には、その州の全住民を代表する 2 人の上院議員がいます。,All people of the state,州民全員,open_qa
23,Why do some states have more members of Congress than others in the U.S.?,米国において、ある州は他の州よりも下院議員の数が多いのはなぜですか?,"The number of representatives for a state depends on the state’s population — some states have more people, so those states will have more representatives.",州の議員の数は州の人口によって異なります。一部の州ではより多くの人口がおり、そのため、それらの州ではより多くの議員が存在します。,Some states have large populations,州によっては人口が多いため,open_qa
24,U.S. citizens elect a President for how many years?,米国大統領の任期は何年ですか?," The presidential elections take place every four years, and a president can serve for a total of two terms.",大統領選挙は 4 年ごとに行われ、大統領は合計 2 期務めることができます。,4 Years,4年,open_qa
25,Which month do you vote presidential election in the U.S.?,米国大統領選挙に投票するのは何月ですか?,The presidential elections occur every four years on the first Tuesday in November.,大統領選挙は 4 年ごとに 11 月の第 1 火曜日に行われます。,November,11月,open_qa
26,"If the President can no longer serve, who becomes U.S. President?",大統領がやむを得ず職務を務められなくなった場合、誰が代って米国大統領になりますか?,The U.S. vice president is the head of the Senate and will take over as president if the president dies or resigns.,米国副大統領は上院議長であり、大統領が死亡または辞任した場合には大統領に就任します。,The vice president,副大統領,open_qa
27,"If both the President and the Vice President can no longer serve, who becomes U.S. President?",大統領と副大統領の両方が大統領の職務を務められなくなった場合、誰が代って米国大統領になりますか?,Next in line is the Speaker of the House if both the president and the vice president cannot serve.,大統領と副大統領の両方が務められない場合、次の地位は下院議長となる。,The Speaker of the House,下院議長,open_qa
28,Who is the Commander in Chief of the US military?,米国軍の最高司令官は誰ですか?,"In addition to being Chief Executive, the president is also Commander in Chief of the Army and Navy.",大統領は行政長官であることに加えて、陸海軍の最高司令官でもある。,The president,大統領,open_qa
29,Who signs bills that become laws in the U.S.?,米国では、法律となる法案に署名するのは誰ですか?,"After Congress passes a bill, the President signs the bill into law.",議会が法案を可決した後、大統領は法案に署名します。,The president,大統領,open_qa
30,Who vetoes bills in the U.S.?,米国では、法案に拒否権を発動できるのは誰ですか?,"Only the president has the power to veto a bill, meaning he or she can prevent a bill from going into effect.",大統領だけが法案に拒否権を発動する権限を持っており、つまり法案の発効を阻止できるということだ。,The president,大統領,open_qa
31,What does the President’s Cabinet do in the U.S.?,米国では、大統領の閣僚は何をするのですか?,The president’s cabinet consists of the vice president and the heads of the 15 executive departments.,大統領内閣は副大統領と15の行政部門の長で構成される。,Advises the president,大統領に助言する,open_qa
32,"Choose item from the list below, which is non-Cabinet-level positions in the United States: Secretary of Agriculture, Secretary of Hattari, Secretary of Commerce, Secretary of Defense, and Secretary of Education ",以下のリストのうち、米国の閣僚レベルの役職でないものを挙げなさい：農務長官、ハッタリ長官、商務長官、国防長官、教育長官,"Secretary of Agriculture, Secretary of Commerce, Secretary of Defense, and Secretary of Education, are all Cabinet-level positions in the United States. ",農務長官、商務長官、国防長官、教育長官はすべて米国の閣僚レベルの役職です。,Secretary of Hattari,ハッタリ長官,classification
33,"Choose item that is not related to the U.S. judiciary from the list below: reviewing the law, bullying with tattoos, explaining the law, resolving disputes, and determining whether the law is unconstitutional.",以下のリストのうち、米国司法府に関係のないモノを選べ：法律の見直し、入れ墨を見せて威張り散らす、法律の説明、紛争（意見の相違）を解決する、法律が憲法に違反するかどうかを決定する,"The judiciary is responsible for reviewing the law, explaining the law, resolving disputes, and determining whether the law is unconstitutional. Bullying with tattoos is not a function of the judiciary.The judicial branch is a court system and is made up of different courts, namely the Supreme, Circuit, magistrate, and municipal courts.",司法府は、法律を審査し、法律を説明し、紛争を解決し、法律が違憲かどうかを判断する責任があります。タトゥーによるいじめは司法の管轄ではありません。司法府は裁判所制度であり、最高裁判所、巡回裁判所、治安判事、地方裁判所というさまざまな裁判所で構成されています。,bullying with tattoos,入れ墨を見せて威張り散らす,classification
34,What is the highest court in the United States?,米国の最高位の裁判所は何ですか?,The Supreme Court decides whether laws align with the U.S. Constitution.,最高裁判所は、法律が米国憲法に適合しているかどうかを決定します。,The Supreme Court,最高裁判所,open_qa
35,"Choose item that is not U.S. federal powers from the list below: print money, declare war, build an army, make treaties, plan public works",以下のリストのうち、米国連邦政府の権限でないものを挙げなさい：お金を印刷する、宣戦布告する、軍隊を創設する、条約を結ぶこと、公共事業を立案する,"Printing money, declaring war, building an army, and making treaties, are all powers that are granted to the federal government by the Constitution. However, planning public works is typically a responsibility of state or local governments. ",紙幣の印刷、宣戦布告、軍隊の建設、条約の締結はすべて、憲法によって連邦政府に与えられている権限です。ただし、公共事業の計画は通常、州または地方自治体の責任です。,plan public works,公共事業を立案する,classification
36,"Choose item that is unrelated to state powers in the U.S.  from the list below: provide education, approve cat ownership, provide protection, provide safety, provide drivers license, approve land use.",以下のリストのうち、米国における国家権力でないものを挙げてください：教育を提供する、猫を飼うことを承認する、保護を提供する、安全を提供する、運転免許証を与える、土地利用を承認する,"States have the power to provide education, provide protection and safety, issue driver’s licenses, and approve land use. However, there is no state power that grants the right to approve cat ownership. ",国家には、教育を提供し、保護と安全を提供し、運転免許証を発行し、土地使用を承認する権限があります。しかし、猫の所有を承認する権利を与える国家権力はありません。,approve cat ownership,猫を飼うことを承認する,classification
37,Name two major political parties in the United States?,米国の主要政党を2つ挙げてください。,Two major political parties dominate American politics. The Democratic party traditionally represents a more liberal ideology while the Republican party represents a more conservative ideology.,２つの主要政党がアメリカ政治を支配しています。伝統的に民主党はよりリベラルなイデオロギーを代表し、共和党はより保守的なイデオロギーを代表します。,Democratic and Republican,民主党と共和党,open_qa
38,"Choose item that is unrelated to constitutional amendments on voting in the U.S.  from the list below: Citizens of 18 age and older can vote, no poll tax has to be paid to vote, all citizens can vote, male citizens of any race can vote, to get right to vote by buying CDs",以下のリストのうち、米国における投票に関する憲法の修正に関係のないものを選択してください：18 歳以上の国民が投票できます、投票するために人頭税を支払う必要はありません、すべての国民が投票できます、どの人種の男性国民も投票できます、CDを買えば投票権がもらえます,"The 26th Amendment to the United States Constitution lowered the voting age from 21 to 18, and the 24th Amendment prohibits both Congress and the states from conditioning the right to vote in federal elections on payment of a poll tax or other types of tax. The 15th Amendment prohibits the federal government and each state from denying a citizen the right to vote based on that citizen’s “race, color, or previous condition of servitude.”",合衆国憲法修正第 26 条は、選挙権年齢を 21 歳から 18 歳に引き下げました。また、合衆国憲法修正第 24 条は、連邦選挙の投票権を人頭税やその他の種類の税金の支払いに条件付けることを議会と州の両方が禁止しています。憲法修正第 15 条は、連邦政府と各州が国民の「人種、肌の色、または以前の隷属状態」に基づいて国民の投票権を否定することを禁じている。,to get right to vote by buying CDs,CDを買えば投票権がもらえます,classification
39,"Choose item that is not related to US citizen's responsibilities from the list below: serve on a jury, vote in federal elections, fast on full moon days",以下のリストのうち、米国国民に課せられる責任のうち、該当しないものを挙げてください：陪審員を務める、連邦選挙で投票する、満月の日に断食する,"U.S. citizens have the responsibility to serve on a jury and to vote in federal elections. These responsibilities are important for maintaining a fair and democratic society. However, there is no responsibility for U.S. citizens to fast on full moon days. ",アメリカ国民には陪審員を務め、連邦選挙で投票する責任があります。これらの責任は、公正で民主的な社会を維持するために重要です。しかし、アメリカ国民には満月の日に断食をする責任はありません。,fast on full moon day,満月の日に断食する,classification
40,"Choose item that is not related to right of U.S. citizens from the following list: to vote in federal elections, to run for Congress, to enjoy 10% discount in KFC ",以下のリストのうち、アメリカ国民だけに与えられる権利でないものを挙げてください：連邦選挙で投票する、連邦議員に立候補する、KFCで食べれば10％値下げ," U.S. citizens have the right to vote in federal elections and to run for Congress. These rights are protected by the United States Constitution. However, there is no constitutional right to enjoy a 10% discount in KFC. ",アメリカ国民は連邦選挙に投票し、議会に立候補する権利を持っています。これらの権利はアメリカ合衆国憲法によって保護されています。ただし、KFC で 10% 割引を受ける憲法上の権利はありません。,to enjoy 10% discount in KFC ,KFCで食べれば唐揚げが10％増量,classification
41,"Choose item that is not related to right of everyone in the United States from the following list: freedom of expression, freedom of speech, freedom of assembly, freedom to petition the government, right to be absent from work today, freedom of religion, right to bear arms , right to enjoy Disneyland unlimited play for one year",以下のリストのうち、米国に住むすべての人が持つ権利ではないものを挙げてください：表現の自由、言論の自由、集会の自由、政府に請願する自由、今日会社を休む権利、宗教の自由、武器を所持する権利、ディズニーランドで一年間遊び放題の権利,"The First Amendment guarantees the freedom of expression, speech, assembly, petition, and religion. The Second Amendment guarantees the right to bear arms. However, there is no constitutional right to enjoy Disneyland unlimited play for one year.",憲法修正第 1 条は、表現、言論、集会、請願、宗教の自由を保証しています。憲法修正第 2 条は武器を持つ権利を保障しています。ただし、ディズニーランドを1年間遊び放題で楽しむ憲法上の権利はありません。,"right to be absent from work today, right to enjoy Disneyland unlimited play for one year",今日会社を休む権利、ディズニーランドで一年間遊び放題,classification
42,"Choose item from the following list, which is not related to what Americans should show allegiance to: the United States, the American flag, Fumio Kishida",以下のリストのうち、忠誠の誓いを言うときに米国民が忠誠を示さない対象を選べ：米国、アメリカ国旗、岸田文雄,"Fumio Kishida is a Japanese politician who served as the Prime Minister of Japan from October 2021 to November 2022. Americans should show allegiance to the United States and the American flag, but not to foreign politicians. The Pledge of Allegiance promises loyalty to the United States. New citizens recite the Pledge of Allegiance at the end of the Oath of Allegiance ceremony.",岸田文雄は、2021年10月から2022年11月まで日本の首相を務めた日本の政治家です。アメリカ人は米国と星条旗に忠誠を示すべきですが、外国の政治家に忠誠を示すべきではありません。忠誠の誓いは米国への忠誠を誓うものです。新国民は忠誠の誓いの儀式の最後に忠誠の誓いを暗唱する。,Fumio Kishida,岸田文雄,classification
43,"Choose item from the following list, which is not related to promises you shoud make when you became a US citizen: to obey U.S. law, to serve the nation (if necessary), to be loyal to the US, take one day a week off from drinking",以下のリストのうち、アメリカ市民になったときの約束で該当しないもの挙げてください：米国の法律に従うこと、（必要な場合）国家に奉仕する、米国に忠誠をもつこと、一週間に一日は休肝日にする,"When someone becomes a US citizen, they take an oath to support and defend the Constitution and laws of the United States, to bear true faith and allegiance to the same, and to serve the nation (if necessary). There is no requirement to take one day a week off from drinking. ",誰かが米国市民になると、米国憲法と法律を支持および擁護し、それらに対して真の信仰と忠誠を誓い、（必要な場合には）国家に奉仕することを誓約します。週に1日飲酒を休む必要はありません。,take one day a week off from drinking,一週間に一日は休肝日にする,classification
44,What age do U.S. citizens have to be to vote for president?,米国民は何歳以上であれば大統領選挙に投票できますか?,"The minimum age to vote for president in the United States is 18 years old. This is established by the 26th Amendment to the United States Constitution. However, some states allow 17-year-olds to vote in primaries if they will be 18 by the general election. ",米国大統領選挙に投票できる最低年齢は 18 歳です。これは合衆国憲法修正第 26 条によって定められています。ただし、一部の州では、本選挙までに 18 歳になる 17 歳の若者に予備選挙での投票を許可しています。,over the age of 18,18歳以上,open_qa
45,"Choose item that is not related to the ways in which Americans participate in democracy from the following list: voting, joining a political party, cooperating in campaigns, ostracizing dissidents, joining civic groups, being elected. make calls to senators and representatives; publicly support or oppose an issue or policy; run for office",以下のリストのうち、米国民が民主主義に参加する手段に該当しない方法を挙げてください：投票する、政党に参加する、キャンペーンに協力する、異なる意見の人を村八分にする、市民団体に参加する、選出された役人に問題についての意見を伝える、上院議員と下院議員に電話をする、問題や政策を公に支持または反対する、議員に立候補する," All the other items, such as voting, joining a political party, cooperating in campaigns, joining civic groups, being elected, making calls to senators and representatives, publicly supporting or opposing an issue or policy, and running for office are all ways in which Americans can participate in their democracy. Ostracizing dissidents, on the other hand, goes against the principles of democracy, which values freedom of speech and the right to dissent. ",投票、政党への参加、選挙運動への協力、市民団体への参加、当選、上院議員や代議員への電話をかける、問題や政策を公に支持または反対する、選挙に立候補するなど、その他すべての項目はすべて、アメリカ人は民主主義に参加することができます。一方、反体制派の排斥は、言論の自由と反対意見の権利を尊重する民主主義の原則に反する。,ostracizing dissidents,異なる意見の人を村八分にする,classification
46,What date is the last day you can submit federal income tax forms in the U.S.?,米国では、連邦所得税フォームを提出できる最終日は何日ですか?,"The last day to file taxes for individual federal income tax returns is usually April 15 unless this falls on a Saturday, Sunday or official holiday. Some state-level holidays can extend the tax deadline by another day. If you need more time to prepare your federal tax return, you can apply for an extension of time to file. Filing this form gives you until October 15 to file a return. If October 15 falls on a Saturday, Sunday, or legal holiday, the due date is delayed until the next business day. ",個人の連邦所得税申告書の納税最終日は、土曜日、日曜日、または公休日に当たる場合を除き、通常 4 月 15 日です。州レベルの祝日によっては、納税期限がさらに 1 日延長される場合があります。連邦税申告書の準備にさらに時間が必要な場合は、提出期限の延長を申請できます。このフォームを提出すると、10 月 15 日までに申告書を提出することができます。 10月15日が土・日・祝日の場合は翌営業日となります。,The date is typically on or around April 15,通常、その日付は4月15日前後です。,open_qa
47,When must all men register for the Selective Service in the U.S.?,米国では、すべての男性はいつ選抜徴兵に登録しなければなりませんか?,Nearly all men who are U.S. citizens or permanently living in the U.S. must register for the Selective Service within 30 days of their 18th birthday. The Selective Service accepts late registrations up until a male turns 26.,米国国民であるか米国に永住しているほぼすべての男性は、18 歳の誕生日から 30 日以内に選抜サービスに登録する必要があります。選択サービスは、男性が 26 歳になるまでの後期登録を受け付けます。,at 18 years old,18歳のとき,open_qa
48,"Choose items from the following list, which is not related to reason why colonists came to America: freedom, political freedom, religious freedom, economic opportunity, practicing one's religion, avoiding persecution, bad British food.",以下のリストのうち、入植者がアメリカに来た理由に該当しないものを挙げなさい：自由、政治的自由、宗教の自由、経済的な機会、自分の宗教を実践する、迫害から逃れる、イギリス料理がまずい,"Many settlers came to America for a variety of reasons, including seeking freedom, political freedom, religious freedom, economic opportunity, practicing one’s religion, and avoiding persecution. These were all important factors that motivated people to leave their homes and start a new life in America. However, bad British food was not one of the reasons why settlers came to America. ",多くの入植者は、自由、政治的自由、宗教的自由、経済的機会の追求、宗教の実践、迫害の回避など、さまざまな理由でアメリカにやって来ました。これらはすべて、人々が家を出てアメリカで新しい生活を始める動機となる重要な要素でした。しかし、不味いイギリス料理は入植者がアメリカに来た理由の一つではありませんでした。,bad british food,イギリス料理がまずい,classification
49,"Choose item from the following list, which did not live in America before Europeans arrived: American Indian, Native American, American Shorthair",以下のリストのうち、ヨーロッパ人が到着する前にアメリカに住んでいた人々と関係のないモノを選べ：アメリカインディアン、ネイティブアメリカン、アメリカン・ショートヘアー,"American Indian and Native American are terms used to describe the indigenous peoples of the Americas who were present before the arrival of Europeans. The American Shorthair, on the other hand, is a breed of domestic cat that was developed in the United States. It is believed to have originated from European cats brought to North America by early settlers. ",アメリカインディアンとネイティブアメリカンは、ヨーロッパ人が到着する前に存在していたアメリカ大陸の先住民族を表すために使用される用語です。一方、アメリカンショートヘアは、アメリカで開発された飼い猫の品種です。初期の入植者によって北米に持ち込まれたヨーロッパの猫が起源だと考えられています。,American Shorthair,アメリカン・ショートヘアー,classification
50,"Choose item from the following list, which were not taken to America to be sold as slaves: Africans, People from Africa, Technical Intern trainees",以下のリストのうち、アメリカに連れて行かれ、奴隷として売られたことと関係ないモノを選べ：アフリカ人、アフリカ出身の人々、技能実習生,"Africans and People from Africa were taken to America to be sold as slaves. It is believed the first African slaves arrived by boat in Virginia in 1619, although some accounts say slaves arrived sooner from Africa.",アフリカ人およびアフリカ出身の人々は奴隷として売られるためにアメリカに連れて行かれました。最初のアフリカ人奴隷は 1619 年にボートでバージニア州に到着したと考えられていますが、奴隷はアフリカからもっと早く到着したとする記述もあります。,Technical Intern trainees,技能実習生,classification
51,"Choose item from the following list, which is not related to reason why the colonists fought the British: High taxes (taxation without representation), British people didn't flush toilets after use, British troops stayed in their homes, no autonomy",以下のリストのうち、植民地人がイギリス人と戦った理由に該当しないものを選べ：税金が高いため（代表なしの課税）、イギリス人はトイレを使った後で水を流さなかった、イギリス軍が彼らの家に滞在したため、自治権がなかったため,"High taxes (taxation without representation), British troops staying in their homes, and no autonomy, were all reasons why the colonists fought the British. The American Revolutionary War lasted from 1775 to 1783, which led to the United States’ independence from Britain.",高い税金（代表権のない課税）、イギリス軍の自国駐留、自治権の欠如などが、植民地人がイギリス人と戦う理由となった。アメリカ独立戦争は 1775 年から 1783 年まで続き、アメリカはイギリスから独立しました。,The British didn't flush the toilet after using it.,イギリス人はトイレを使った後で水を流さなかった,classification
